iso3,year,pop,pop_15_64_pct,pop_65_plus_pct,IMR,urban,LA,PSR
CLI,1990,57247586.0,64.9810315399239,15.8723467853831,7.9,78.14,241930.0,4.09397755848966
CLI,1995,58019030.0,64.513311488528,15.9941182331737,6.1,78.353,241930.0,4.033564748491089
CLI,2000,58892514.0,65.1756704645238,15.8897578485505,5.5,78.651,241930.0,4.101740950726274
CLI,2005,60401206.0,65.8641896604977,15.9578367640377,5.1,79.915,241930.0,4.127388356855992
CLI,2010,62766365.0,65.9030603247605,16.3383853690104,4.4,81.302,241930.0,4.033633607991717
CMR,1990,11331821.0,50.1951186839256,3.63251855107842,80.8,39.657,472710.0,13.818269054406812
CMR,1995,13058516.0,50.6287812489566,3.47459466297702,85.8,42.573,472710.0,14.5711330845072
CMR,2000,14912631.0,51.7668545543707,3.32752148162185,82.8,45.542,472710.0,15.557181175323109
CMR,2005,17074594.0,52.7519805156128,3.17184115768726,73.3,48.541,472710.0,16.631343719014218
CMR,2010,19668066.0,53.2907150098032,3.00754786972954,63.9,51.559,472710.0,17.718991456849356
COD,1990,36684063.0,52.7606422336501,2.86497432325075,102.4,30.633,2267050.0,18.41574697737085
COD,1995,44433704.0,53.0872921027775,2.88981982134755,98.3,32.838,2267050.0,18.370450541799663
COD,2000,50507442.0,51.37496224195,2.9571711724895,91.2,35.122,2267050.0,17.373009286675785
COD,2005,58775724.0,51.0866752480439,3.03606295827115,78.6,37.481,2267050.0,16.826619194067902
COD,2010,68563038.0,50.8243133189658,3.11379145067778,65.9,40.013,2267050.0,16.32232412607558
COG,1990,2380560.0,52.4695659844743,3.35864250428471,57.2,54.324,341500.0,15.622253906909554
COG,1995,2749461.0,53.4131332310466,3.29199128338087,66.9,56.413,341500.0,16.225174562488935
COG,2000,3151345.0,54.4199771177105,3.12687072870937,73.3,58.695,341500.0,17.403974081196697
COG,2005,3696393.0,55.8680854551992,2.98408475505716,56.3,60.988,341500.0,18.722016980422207
COG,2010,4462290.0,56.8188531000899,2.75270096744048,41.0,63.256,341500.0,20.64112803103393
